index,latitude,longitude,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,catastrophic,month_sin,month_cos,Vegetation_0,Vegetation_4,Vegetation_9,Vegetation_12,Vegetation_14,Vegetation_15,Vegetation_16,Vegetation
37297,42.2666,-113.5842,18.72727273,19.09230769,12.82608696,2.260839161,2.456923077,3.039130435,57.36363636,57.81538462,63.91304348,0.0,0.0,0.0,0.0365461657660219,1,-0.8660254037844384,-0.5000000000000004,False,False,True,False,False,False,False,9
37298,42.6499,-113.1508,16.62328767,14.64197531,12.6,2.596575342,2.708641975,3.1475,60.69863014,63.01234568,65.55,0.0,0.0,0.0,0.0367038638922847,1,-1.0,-1.8369701987210297e-16,False,True,False,False,False,False,False,4
37299,43.4166,-114.4509,10.0845987,9.197368421,11.7,3.356427015,3.422123894,3.5311926610000004,39.23144105,38.21681416,37.229357799999995,0.0,0.0,0.0,0.0299000056088174,1,-0.8660254037844386,0.5000000000000001,False,False,True,False,False,False,False,9
37300,40.4332,-116.8176,30.33163265,30.29896907,28.62745098,4.343076923,4.136458333,3.708,13.84615385,13.15625,12.12,0.0,0.0,0.0,0.0563442569240546,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,True,False,False,14
37301,39.2066,-118.846,17.02708333,17.44222222,22.1952381,3.669958275,3.200277778,2.343452381,41.36414566,44.90807799,35.76785714,29.0,22.0,0.0,0.0906688623982285,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37302,39.1782,-119.466,19.00699301,17.50756303,19.16280488,2.153706294,2.1607843140000003,1.859146341,42.83193277,49.43820225,49.85889571,18.1,18.1,12.5,0.1028172468054349,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37303,40.8652,-116.9109,19.05987654,18.24479167,24.29512195,4.795679012,4.491666667,4.343902439,37.17901235,41.19791667,23.43902439,21.0,9.0,0.0,0.0602482788565992,1,1.2246467991473532e-16,-1.0,False,False,False,False,False,True,False,15
37304,41.6316,-114.3417,26.56115108,26.17757009,28.06666667,4.777697842,4.553271028,4.574285714,29.23325062,30.47826087,30.88349515,0.0,0.0,0.0,0.0356880136609627,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37305,40.8332,-116.1509,20.49030471,19.74930362,20.58181818,2.369252078,2.277158774,1.5278787880000002,34.94598338,34.37325905,30.95151515,0.0,0.0,0.0,0.0455738831734358,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37306,40.7333,-116.0009,20.49030471,19.74930362,20.58181818,2.369252078,2.277158774,1.5278787880000002,34.94598338,34.37325905,30.95151515,0.0,0.0,0.0,0.042188924638155,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
